va,kind,name,display,source,confidence,notes,type
0x004CD588,func,sincos,,re,confirmed,"sin/cos via sin_table lookup+lerp; AL=frac AH=index; core of GRSinCos/angles_2_matrix/all rotates; not a C function (#479): angle in BX; sin in AX, cos in BX",!asm
0x004CD5C6,func,fast_sincos,,sms,confirmed,,
0x004CD5DF,func,isqrt16,,re,inferred,"tail-call wrapper of FUN_004cd5ee (16-bit integer sqrt); not a C function (#479): 32-bit value in CX:BX, result in DI",!asm
0x004CD5EE,func,isqrt16_body,,re,inferred,"Newton-Raphson 16-bit integer square root (magnitude-classed); used by distance/normalize; not a C function (#479): 32-bit value in CX:BX, result in DI",!asm
0x004CD73B,func,fast_asin,,sms,confirmed,,
0x004CD75F,func,asin,,sms,confirmed,,
0x004CD7A0,func,@GRACos@4,GRACos,sms,confirmed,public arccos wrapper over acos,undefined4 __fastcall GRACos(undefined4)
0x004CD7B4,func,acos,,re,confirmed,"arccos via DAT_00515dcc table lookup+lerp; not a C function (#479): cosine in BX, angle result in CX",!asm
0x004CD7FF,func,atan2,,sms,confirmed,,
0x004CD834,func,@GRSetLightSource@4,GRSetLightSource,sms,confirmed,store world light dir into _worldLightSource/515ED2/515ED4,undefined4 __fastcall GRSetLightSource(undefined4)
0x004CD854,func,SetShading,,re,confirmed,thin wrapper -> SetShadingTable (renderer span); rebuilds shade LUT; not a C function (#479): 3-component vector in EAX/EBX/ECX,!asm
0x004CD8B0,func,_Sun,Sun,re,inferred,lighting dot product of _worldLightSource against current matrix rows (518384/38A/390); signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,undefined4 __cdecl Sun(void)
0x004CD8F0,func,clip_edge_right,,re,confirmed,Sutherland-Hodgman clip vs screen edge (outcode bit4); vbuf/vbuf2 ping-pong; calls ecode_pnt; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl clip_edge_right(void)
0x004CD9DA,func,clip_edge_left,,re,confirmed,S-H clip vs screen edge (outcode bit8); vbuf ping-pong; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl clip_edge_left(void)
0x004CDAC6,func,clip_edge_top,,re,confirmed,S-H clip vs screen edge (outcode bit2); vbuf ping-pong; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl clip_edge_top(void)
0x004CDBB3,func,clip_edge_bottom,,re,confirmed,S-H clip vs screen edge (outcode bit1); vbuf ping-pong; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl clip_edge_bottom(void)
