va,kind,name,display,source,confidence,notes,type
0x00412C10,func,?PlaySeq@@YGDPADJJ@Z,PlaySeq,sms,confirmed,public entry - SeqStart then GetKey/SeqContinue/flush loop then SeqEnd; scattered out-of-range,"char __stdcall PlaySeq(char *, long, long)"
0x00444F70,func,_SeqInit,SeqInit,sms,confirmed,zero all seq lists/free-lists/arrays (seqList seqGrArray seqFontArray seqLabels seqText); signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl SeqInit(void)
0x00445060,func,_SeqStart,SeqStart,sms,confirmed,load .SEQ file - alloc a 0x38-byte SEQUENCE slot - build background bitmap - returns slot index; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,"short __cdecl SeqStart(char *, undefined4, short *, undefined4, undefined4, undefined4)"
0x00445330,func,SeqLoadScript,,re,confirmed,LoadFile the .SEQ then loop skip/expand/include lines into compiled command buffer; recursive for includes,"undefined4 __cdecl SeqLoadScript(undefined4, undefined4)"
0x00445440,func,SeqSkipComments,,re,confirmed,scan script text past blank lines - ; and // comments - whitespace; return next content or NULL; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,"char * __cdecl SeqSkipComments(char *, char *)"
0x004454D0,func,?SeqSubstitute@@YAPADPAPADPAD0F@Z,SeqSubstitute,sms,confirmed,expand %N token into the N-th SeqStart argument string,"char * __cdecl SeqSubstitute(char **, char *, char **, short)"
0x00445550,func,SeqExpandLine,,re,confirmed,tokenize one script line into seqLine - handle quotes and %-substitution; return next line; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,"char * __cdecl SeqExpandLine(char *, char *, undefined4)"
0x004456B0,func,SeqParseInclude,,re,inferred,detect an include directive and extract the quoted filename; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char * __cdecl SeqParseInclude(undefined4)
0x00445700,func,_SeqContinue,SeqContinue,sms,confirmed,main per-tick interpreter - fade + labels + fetch line + build SEQ+cmd name and SMAddress-dispatch the sub-op; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,"short __cdecl SeqContinue(undefined4, undefined4, undefined4)"
0x00445B40,func,SeqFetchLine,,re,confirmed,read next raw line from compiled buffer into seqLine - parse leading timecode (/abs +rel frame) into next-command tick; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl SeqFetchLine(undefined4)
