va,kind,name,display,source,confidence,notes,type
0x00418070,func,_MSGInit@0,MSGInit,sms,confirmed,"clear the 0x22-slot message queue at 0x522d40 (stride 0xd5; +6 = fire-time, 0xffff = empty) and the hide-stack",undefined4 __stdcall MSGInit(void)
0x004180A0,func,_MSGSend@32,MSGSend,sms,confirmed,"THE radio/order primitive: queue a T_MSG {flags,rand,fromId,toId,fireT=_currentT+delay,param,kind,payload[<=200],len} for one or a broadcast set of recipients. Recipient 0x8000/8001/8002 fan out via WNGPart/WNGWingmen to leader/wing; 0x8003+thisComputer routes to a human. AI recipients get ImmediateService; non-local recipients are mirrored by MPMsgSend. If the message is TO the player and audible (radio not silenced, kind in the spoken set) it also calls SAYMsg. Kinds are the SayProc opcodes (attack/break/contact/splash/…)","undefined4 __stdcall MSGSend(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x004185A0,func,_MSGReceive@8,MSGReceive,sms,confirmed,pull the first due message (fireT<=_currentT) matching a recipient mask into the receive buffer at 0x522c60; SAYMsg it if audible; compacts the queue; 0x800b = any-AI wildcard,"undefined4 __stdcall MSGReceive(undefined4, undefined4)"
0x004186E0,func,_MSGHide@0,MSGHide,sms,confirmed,push the suppress-audio flag (0x522c58) and set it — used to bracket a burst of orders so only the net effect is spoken,undefined4 __stdcall MSGHide(void)
0x00418710,func,_MSGPop@0,MSGPop,sms,confirmed,pop the suppress-audio flag saved by MSGHide,undefined4 __stdcall MSGPop(void)
0x00418730,func,_MSGMultiCanGet@0,MSGMultiCanGet,sms,confirmed,"is there a free slot, and pick the oldest pending broadcast(0x400) message to expire, so the multiplayer relay always has room",undefined4 __stdcall MSGMultiCanGet(void)
0x0041873E,func,MSGMultiPurge,,re,confirmed,alternate entry / helper of MSGMultiCanGet: find a matching slot then expire the oldest 0x400 broadcast,
0x004187F0,func,@MSGMultiGet@4,MSGMultiGet,sms,confirmed,copy an incoming network message into a free queue slot; ImmediateService the recipient if it is a live local AI,undefined4 __fastcall MSGMultiGet(undefined4)
0x004189E0,func,_MSGRemoveCurObj@0,MSGRemoveCurObj,sms,confirmed,expire every queued message addressed to _curId (object death cleanup),undefined4 __stdcall MSGRemoveCurObj(void)
0x00418A10,func,@MSGRemoveSecondaries@4,MSGRemoveSecondaries,sms,confirmed,"expire queued secondary (non-primary, +0x1d set) messages from a given sender",undefined4 __fastcall MSGRemoveSecondaries(undefined4)
